# HRTS/jetppf/30 at t=50.875s
# Remapped onto normaliazed midplane r/a (LFS) using 104448/eftp/zstancar/157
# At t=50.900s Rmag=2.999m, Zmag=0.270m
# R of separatrix at the midplane is Rbnd=3.825m
#     Rmid           TE       error
5.854854e-02 5.620758e+03 6.009719e+02
4.798121e-02 5.540590e+03 6.337517e+02
4.143757e-02 5.023799e+03 5.588630e+02
4.481233e-02 5.755999e+03 6.734125e+02
5.655591e-02 5.474409e+03 7.214257e+02
7.161332e-02 6.615659e+03 6.423907e+02
8.662213e-02 4.360875e+03 4.722172e+02
1.009873e-01 4.793927e+03 5.415248e+02
1.198279e-01 4.535361e+03 4.403906e+02
1.406579e-01 5.712736e+03 5.566674e+02
1.595799e-01 4.345495e+03 4.701197e+02
1.791057e-01 4.098384e+03 3.979594e+02
1.984391e-01 3.940911e+03 4.887535e+02
2.179739e-01 4.029338e+03 4.702262e+02
2.375320e-01 3.454282e+03 3.892462e+02
2.573403e-01 3.456178e+03 3.804787e+02
2.768979e-01 4.442037e+03 4.984514e+02
2.967262e-01 3.996236e+03 4.128880e+02
3.161367e-01 3.533591e+03 3.765976e+02
3.361919e-01 3.320993e+03 3.911699e+02
3.561356e-01 3.215562e+03 3.122361e+02
3.755278e-01 2.815853e+03 3.084555e+02
4.052801e-01 2.453534e+03 2.943344e+02
4.246917e-01 2.463737e+03 2.392327e+02
4.445945e-01 2.594039e+03 2.518852e+02
4.646038e-01 2.444182e+03 2.373338e+02
4.846246e-01 2.333448e+03 2.265814e+02
5.049676e-01 2.151149e+03 2.684561e+02
5.248733e-01 1.989050e+03 2.778618e+02
5.444239e-01 2.131125e+03 2.673004e+02
5.647071e-01 2.035738e+03 1.976733e+02
5.843943e-01 1.826240e+03 2.114420e+02
6.044900e-01 1.939814e+03 1.883589e+02
6.249348e-01 1.623229e+03 1.612427e+02
6.446942e-01 1.481082e+03 1.536307e+02
6.643925e-01 1.451802e+03 1.409722e+02
6.843577e-01 1.645377e+03 1.953602e+02
7.040836e-01 1.318430e+03 1.751389e+02
7.244555e-01 1.339956e+03 1.573087e+02
7.445034e-01 1.332946e+03 1.744347e+02
7.643206e-01 1.161175e+03 1.503007e+02
7.846225e-01 1.226583e+03 1.441764e+02
8.047207e-01 1.027565e+03 2.292159e+02
8.242968e-01 1.038658e+03 2.514971e+02
8.443668e-01 9.698324e+02 1.785610e+02
8.593634e-01 8.211389e+02 1.644439e+02
8.693052e-01 7.542169e+02 1.642660e+02
8.787644e-01 8.360656e+02 1.814918e+02
8.887487e-01 6.438984e+02 1.678704e+02
8.986219e-01 8.279159e+02 2.393270e+02
9.087202e-01 7.343313e+02 1.714754e+02
9.185696e-01 7.541797e+02 1.968885e+02
9.284167e-01 5.836445e+02 1.083238e+02
9.382572e-01 6.459247e+02 1.425216e+02
9.480996e-01 4.285239e+02 9.317184e+01
9.579450e-01 3.409856e+02 1.067434e+02
9.680381e-01 3.927424e+02 1.140466e+02
9.779093e-01 5.342422e+02 4.817424e+02
9.880256e-01 5.311274e+02 4.546502e+02
9.981367e-01 3.316037e+01 3.754324e+01
9.675293e-01 1.000000e-20 1.000000e+20
