# 104614M30  idx 2  channel total (DD+DT+TT+TD)  TH=THNTX  BT=BTN[DD+DT]  t = 13.329 s
# (TH/BT)_LOS = 0.504584  [cum (TH/BT)(rhot=1) must match this]
#   rhot          f             TH[n/m3/s]    BT[n/m3/s]    THKM14        BTKM14        DVOL[m3]      TH*f*DVOL[n/s] BT*f*DVOL[n/s] TH/BT_local   TH/BT_cum
6.42499983e-01 2.42645467e-01 1.24748506e+15 1.16177165e+16 3.02696594e+14 2.81898625e+15 4.53025311e-01 1.37129219e+14 1.27707212e+15 1.07377819e-01 5.45014782e-01
6.47499979e-01 2.41341475e-01 1.18439296e+15 1.13900385e+16 2.85843143e+14 2.74888869e+15 4.55633819e-01 1.30239803e+14 1.25248665e+15 1.03984983e-01 5.43576761e-01
6.52499974e-01 2.39689828e-01 1.12381094e+15 1.11632546e+16 2.69366052e+14 2.67571857e+15 4.58364010e-01 1.23467704e+14 1.22645310e+15 1.00670547e-01 5.42167139e-01
6.57500029e-01 2.38137758e-01 1.06536499e+15 1.09388547e+16 2.53703630e+14 2.60495433e+15 4.61261183e-01 1.17023637e+14 1.20156432e+15 9.73927363e-02 5.40784609e-01
6.62500024e-01 2.37199504e-01 1.01152397e+15 1.07169250e+16 2.39932984e+14 2.54204929e+15 4.63795692e-01 1.11279884e+14 1.17899151e+15 9.43856537e-02 5.39427236e-01
6.67500019e-01 2.35015007e-01 9.59281408e+14 1.04972634e+16 2.25445527e+14 2.46701444e+15 4.66443598e-01 1.05157623e+14 1.15072309e+15 9.13839511e-02 5.38101464e-01
6.72500014e-01 2.34545080e-01 9.10464320e+14 1.02796708e+16 2.13544927e+14 2.41104622e+15 4.69385803e-01 1.00234957e+14 1.13171087e+15 8.85694040e-02 5.36797059e-01
6.77500010e-01 2.32510827e-01 8.64461184e+14 1.00639480e+16 2.00996585e+14 2.33997687e+15 4.71995801e-01 9.48695441e+13 1.10445926e+15 8.58968256e-02 5.35523796e-01
6.82500005e-01 2.31814593e-01 8.19719680e+14 9.84989555e+15 1.90022984e+14 2.28334953e+15 4.74223107e-01 9.01132899e+13 1.08281711e+15 8.32211545e-02 5.34275057e-01
6.87500000e-01 2.30668239e-01 7.78854272e+14 9.63731434e+15 1.79656943e+14 2.22302233e+15 4.77119893e-01 8.57179015e+13 1.06064817e+15 8.08165267e-02 5.33052065e-01
6.92499995e-01 2.27859932e-01 7.39236288e+14 9.42600509e+15 1.68442330e+14 2.14780888e+15 4.79810089e-01 8.08203294e+13 1.03054037e+15 7.84251951e-02 5.31863842e-01
6.97499990e-01 2.29132858e-01 7.01582784e+14 9.21576854e+15 1.60755668e+14 2.11163538e+15 4.82139915e-01 7.75067243e+13 1.01810371e+15 7.61285161e-02 5.30690126e-01
7.02499986e-01 2.25750184e-01 6.66636800e+14 9.00640546e+15 1.50493380e+14 2.03319769e+15 4.84985799e-01 7.29871522e+13 9.86072005e+14 7.40180756e-02 5.29553836e-01
7.07499981e-01 2.24719103e-01 6.32507072e+14 8.79771658e+15 1.42136422e+14 1.97701498e+15 4.87196416e-01 6.92483552e+13 9.63194611e+14 7.18944587e-02 5.28444206e-01
7.12499976e-01 2.25631558e-01 6.00898816e+14 8.58950267e+15 1.35581736e+14 1.93806287e+15 4.89548177e-01 6.63737916e+13 9.48775143e+14 6.99573467e-02 5.27351821e-01
7.17499971e-01 2.22476854e-01 5.70639872e+14 8.38156447e+15 1.26954163e+14 1.86470409e+15 4.92317587e-01 6.25017674e+13 9.18026620e+14 6.80827397e-02 5.26295469e-01
7.22500026e-01 2.21529563e-01 5.41556416e+14 8.17370025e+15 1.19970756e+14 1.81071624e+15 4.94748175e-01 5.93553126e+13 8.95848556e+14 6.62559673e-02 5.25265221e-01
7.27500021e-01 2.21723574e-01 5.14724800e+14 7.96571571e+15 1.14126622e+14 1.76618696e+15 4.96966302e-01 5.67170855e+13 8.77735402e+14 6.46175207e-02 5.24256682e-01
7.32500017e-01 2.19068577e-01 4.88466208e+14 7.75740914e+15 1.07007597e+14 1.69940458e+15 4.99601692e-01 5.34611766e+13 8.49025405e+14 6.29676995e-02 5.23281838e-01
7.37500012e-01 2.18558482e-01 4.63989184e+14 7.54858128e+15 1.01408771e+14 1.64980646e+15 5.01727164e-01 5.08795353e+13 8.27752717e+14 6.14670713e-02 5.22332292e-01
7.42500007e-01 2.18583430e-01 4.40519200e+14 7.33903288e+15 9.62901979e+13 1.60419098e+15 5.04099190e-01 4.85398108e+13 8.08671376e+14 6.00241485e-02 5.21405506e-01
7.47500002e-01 2.15600081e-01 4.17956416e+14 7.12856470e+15 9.01114370e+13 1.53691912e+15 5.06382167e-01 4.56308248e+13 7.78268437e+14 5.86312159e-02 5.20514383e-01
7.52499998e-01 2.16097497e-01 3.97021888e+14 6.91651280e+15 8.57954362e+13 1.49464110e+15 5.08967519e-01 4.36670903e+13 7.60723773e+14 5.74020319e-02 5.19644350e-01
7.57499993e-01 2.14631958e-01 3.76344512e+14 6.70025752e+15 8.07755593e+13 1.43808939e+15 5.11035383e-01 4.12791689e+13 7.34914560e+14 5.61686638e-02 5.18804699e-01
7.62499988e-01 2.13369910e-01 3.57326784e+14 6.48007454e+15 7.62427838e+13 1.38265292e+15 5.13310909e-01 3.91362527e+13 7.09730829e+14 5.51423879e-02 5.17994911e-01
7.67499983e-01 2.12849354e-01 3.38703712e+14 6.25674507e+15 7.20928662e+13 1.33174414e+15 5.15338600e-01 3.71522367e+13 6.86299163e+14 5.41341717e-02 5.17212845e-01
7.72499979e-01 2.11500873e-01 3.21174784e+14 6.03105031e+15 6.79287472e+13 1.27557241e+15 5.17666578e-01 3.51644421e+13 6.60321203e+14 5.32535408e-02 5.16461440e-01
7.77499974e-01 2.10789632e-01 3.04404096e+14 5.80377148e+15 6.41652272e+13 1.22337485e+15 5.20096481e-01 3.33721089e+13 6.36272955e+14 5.24493594e-02 5.15738446e-01
7.82500029e-01 2.10191715e-01 2.88187584e+14 5.57568706e+15 6.05746426e+13 1.17196323e+15 5.21743834e-01 3.16044463e+13 6.11464587e+14 5.16864704e-02 5.15044621e-01
7.87500024e-01 2.08950703e-01 2.72946496e+14 5.34758370e+15 5.70323621e+13 1.11738137e+15 5.24064600e-01 2.98886421e+13 5.85580021e+14 5.10410891e-02 5.14381187e-01
7.92500019e-01 2.08259492e-01 2.57992192e+14 5.12023989e+15 5.37293228e+13 1.06633856e+15 5.26176810e-01 2.82711237e+13 5.61082621e+14 5.03867392e-02 5.13746389e-01
7.97500014e-01 2.06808520e-01 2.44074896e+14 4.89443684e+15 5.04767680e+13 1.01221124e+15 5.28135180e-01 2.66585570e+13 5.34584366e+14 4.98678201e-02 5.13142509e-01
8.02500010e-01 2.06822793e-01 2.30344800e+14 4.67095577e+15 4.76405548e+13 9.66060116e+14 5.30210197e-01 2.52595079e+13 5.12214924e+14 4.93142756e-02 5.12564681e-01
8.07500005e-01 2.05404325e-01 2.17596096e+14 4.45057787e+15 4.46951792e+13 9.14167941e+14 5.32026827e-01 2.37790344e+13 4.86361870e+14 4.88916501e-02 5.12016850e-01
8.12500000e-01 2.05177296e-01 2.04444800e+14 4.23408435e+15 4.19474313e+13 8.68737979e+14 5.34217477e-01 2.24090509e+13 4.64095011e+14 4.82854811e-02 5.11494623e-01
8.17499995e-01 2.04034391e-01 1.91169792e+14 4.02225643e+15 3.90052122e+13 8.20678643e+14 5.35954595e-01 2.09050227e+13 4.39846489e+14 4.75279971e-02 5.10999959e-01
8.22499990e-01 2.02943805e-01 1.78278592e+14 3.81587531e+15 3.61805359e+13 7.74408256e+14 5.38073361e-01 1.94677825e+13 4.16688453e+14 4.67202353e-02 5.10531496e-01
8.27499986e-01 2.03315541e-01 1.66155904e+14 3.61572219e+15 3.37820775e+13 7.35132512e+14 5.39642096e-01 1.82302311e+13 3.96708449e+14 4.59537252e-02 5.10085637e-01
8.32499981e-01 2.00653832e-01 1.54553104e+14 3.42257829e+15 3.10116726e+13 6.86753449e+14 5.41815162e-01 1.68025944e+13 3.72093431e+14 4.51569229e-02 5.09667504e-01
