# HRTS/jetppf/31 at t=50.875s
# Remapped onto normaliazed midplane r/a (LFS) using 104453/eftp/zstancar/140
# At t=50.900s Rmag=3.005m, Zmag=0.272m
# R of separatrix at the midplane is Rbnd=3.828m
#     Rmid           NE       error
6.259889e-02 4.201746e+19 1.721288e+18
5.134394e-02 4.488173e+19 1.814994e+18
4.333365e-02 4.631277e+19 1.745884e+18
4.293366e-02 4.850475e+19 1.828517e+18
5.052232e-02 4.843197e+19 1.992409e+18
6.373122e-02 4.864158e+19 1.833675e+18
7.848798e-02 4.245095e+19 1.600302e+18
9.302202e-02 4.375896e+19 1.649611e+18
1.111574e-01 4.353339e+19 1.641108e+18
1.320113e-01 4.597236e+19 1.733051e+18
1.508529e-01 4.354611e+19 1.641587e+18
1.703694e-01 4.110978e+19 1.549743e+18
1.896257e-01 4.384483e+19 2.071786e+18
2.091241e-01 4.342307e+19 2.203946e+18
2.286265e-01 3.926705e+19 1.832340e+18
2.483439e-01 3.916023e+19 1.476250e+18
2.678879e-01 3.712435e+19 1.592739e+18
2.876289e-01 3.637510e+19 1.371257e+18
3.069585e-01 3.788695e+19 1.428250e+18
3.269487e-01 3.445693e+19 1.298946e+18
3.468172e-01 3.418008e+19 1.288510e+18
3.661075e-01 3.310920e+19 1.260508e+18
3.957099e-01 3.168013e+19 1.218700e+18
4.150126e-01 3.102098e+19 1.169419e+18
4.347586e-01 3.371504e+19 1.270979e+18
4.547882e-01 2.847836e+19 1.258539e+18
4.746244e-01 3.150028e+19 1.187487e+18
4.949692e-01 2.811798e+19 1.271632e+18
5.147765e-01 3.024704e+19 1.266494e+18
5.343491e-01 3.001490e+19 1.405720e+18
5.546141e-01 3.038014e+19 1.782222e+18
5.743720e-01 3.018878e+19 2.180867e+18
5.945292e-01 2.843179e+19 1.448274e+18
6.150116e-01 2.722242e+19 1.266451e+18
6.349952e-01 2.814005e+19 1.495893e+18
6.548529e-01 2.489041e+19 1.107919e+18
6.750870e-01 2.937633e+19 1.532864e+18
6.950616e-01 2.630682e+19 1.376551e+18
7.157098e-01 2.527436e+19 1.151095e+18
7.361357e-01 2.584117e+19 1.228065e+18
7.562771e-01 2.530017e+19 1.143978e+18
7.769495e-01 2.346788e+19 1.137394e+18
7.974148e-01 2.102758e+19 2.085121e+18
8.173380e-01 1.987500e+19 2.118066e+18
8.378001e-01 1.908041e+19 1.550076e+18
8.530009e-01 2.238446e+19 2.912196e+18
8.631230e-01 1.824415e+19 7.287417e+17
8.727452e-01 2.013714e+19 2.827123e+18
8.828527e-01 2.011789e+19 2.533922e+18
8.928300e-01 2.261078e+19 2.753288e+18
9.030277e-01 1.747153e+19 2.285260e+18
9.130131e-01 2.207434e+19 2.255995e+18
9.229781e-01 1.714639e+19 2.282079e+18
9.329296e-01 2.110344e+19 2.209603e+18
9.428667e-01 1.477791e+19 2.316941e+18
9.527817e-01 1.693508e+19 3.252445e+18
9.629717e-01 1.637647e+19 3.263178e+18
9.729392e-01 6.610587e+18 3.379904e+18
9.831988e-01 1.175475e+19 8.153689e+18
9.933276e-01 1.297218e+19 8.437041e+18
9.863829e-01 5.771319e+18 5.281782e+18
