# 104614M29  idx 1  channel DD (2.45 MeV)  [BT anisotropy: dEps/dOmega toward KM14]  TH=THNTX_DD  BT=BTN[DD]  t = 12.329 s
# (TH/BT)_LOS = 0.374151  [cum (TH/BT)(rhot=1) must match this]
#   rhot          f             TH[n/m3/s]    BT[n/m3/s]    THKM14        BTKM14        DVOL[m3]      TH*f*DVOL[n/s] BT*f*DVOL[n/s] TH/BT_local   TH/BT_cum
6.32499993e-01 2.44662078e-01 1.25748400e+13 9.65741087e+13 3.07658648e+12 2.36280221e+13 4.47285801e-01 1.37611345e+12 1.05684788e+13 1.30209227e-01 3.98620917e-01
6.37499988e-01 2.44918659e-01 1.19817600e+13 9.46517316e+13 2.93455659e+12 2.31819751e+13 4.50068176e-01 1.32075053e+12 1.04334693e+13 1.26587858e-01 3.97797885e-01
6.42499983e-01 2.41659411e-01 1.14007900e+13 9.27361249e+13 2.75510820e+12 2.24105574e+13 4.53025311e-01 1.24813375e+12 1.01525497e+13 1.22937960e-01 3.96991066e-01
6.47499979e-01 2.41769218e-01 1.08535200e+13 9.08255803e+13 2.62404705e+12 2.19588296e+13 4.55633819e-01 1.19560458e+12 1.00051854e+13 1.19498493e-01 3.96190657e-01
6.52499974e-01 2.39487780e-01 1.03272100e+13 8.89201018e+13 2.47324059e+12 2.12952777e+13 4.58364010e-01 1.13364447e+12 9.76098890e+12 1.16140330e-01 3.95404798e-01
6.57500029e-01 2.38032514e-01 9.81733000e+12 8.70286553e+13 2.33684374e+12 2.07156496e+13 4.61261183e-01 1.07789531e+12 9.55532505e+12 1.12805719e-01 3.94630622e-01
6.62500024e-01 2.37347365e-01 9.34270100e+12 8.51523681e+13 2.21746546e+12 2.02106902e+13 4.63795692e-01 1.02845093e+12 9.37363104e+12 1.09717454e-01 3.93867001e-01
6.67500019e-01 2.35109971e-01 8.88320400e+12 8.32906344e+13 2.08852983e+12 1.95824586e+13 4.66443598e-01 9.74181370e+11 9.13411246e+12 1.06653096e-01 3.93118837e-01
6.72500014e-01 2.34527342e-01 8.45155600e+12 8.14428709e+13 1.98212096e+12 1.91005800e+13 4.69385803e-01 9.30379439e+11 8.96554108e+12 1.03772815e-01 3.92380915e-01
6.77500010e-01 2.32693213e-01 8.04365500e+12 7.96084942e+13 1.87170393e+12 1.85243563e+13 4.71995801e-01 8.83436393e+11 8.74341838e+12 1.01040160e-01 3.91658113e-01
6.82500005e-01 2.31103842e-01 7.64751200e+12 7.77869212e+13 1.76736940e+12 1.79768563e+13 4.74223107e-01 8.38127410e+11 8.52504067e+12 9.83135967e-02 3.90950228e-01
6.87500000e-01 2.30815288e-01 7.28255200e+12 7.59775686e+13 1.68092434e+12 1.75367844e+13 4.77119893e-01 8.02002440e+11 8.36714868e+12 9.58513432e-02 3.90252951e-01
6.92499995e-01 2.28308875e-01 6.92896200e+12 7.41798529e+13 1.58194352e+12 1.69359187e+13 4.79810089e-01 7.59032459e+11 8.12602467e+12 9.34075996e-02 3.89573319e-01
6.97499990e-01 2.27967218e-01 6.59260000e+12 7.23931911e+13 1.50289668e+12 1.65032744e+13 4.82139915e-01 7.24606479e+11 7.95688731e+12 9.10665755e-02 3.88905606e-01
7.02499986e-01 2.27083270e-01 6.27876000e+12 7.06169997e+13 1.42580135e+12 1.60359392e+13 4.84985799e-01 6.91493406e+11 7.77720277e+12 8.89128684e-02 3.88251153e-01
7.07499981e-01 2.24925930e-01 5.97268000e+12 6.88506955e+13 1.34341060e+12 1.54863067e+13 4.87196416e-01 6.54504831e+11 7.54487312e+12 8.67482885e-02 3.87614403e-01
7.12499976e-01 2.25081383e-01 5.68697400e+12 6.70936953e+13 1.28003197e+12 1.51015417e+13 4.89548177e-01 6.26637319e+11 7.39293222e+12 8.47616751e-02 3.86988976e-01
7.17499971e-01 2.22689604e-01 5.41365500e+12 6.53454156e+13 1.20556469e+12 1.45517448e+13 4.92317587e-01 5.93520699e+11 7.16407986e+12 8.28467452e-02 3.86381545e-01
7.22500026e-01 2.22036748e-01 5.15109600e+12 6.36052527e+13 1.14373261e+12 1.41227035e+13 4.94748175e-01 5.65859619e+11 6.98718177e+12 8.09853870e-02 3.85787827e-01
7.27500021e-01 2.21329897e-01 4.90705300e+12 6.18726645e+13 1.08607753e+12 1.36942705e+13 4.96966302e-01 5.39743936e+11 6.80559095e+12 7.93089006e-02 3.85208586e-01
7.32500017e-01 2.19844359e-01 4.66921800e+12 6.01470472e+13 1.02650124e+12 1.32229890e+13 4.99601692e-01 5.12841755e+11 6.60622769e+12 7.76300453e-02 3.84645328e-01
7.37500012e-01 2.18665911e-01 4.44567600e+12 5.84278174e+13 9.72117792e+11 1.27761719e+13 5.01727164e-01 4.87737902e+11 6.41015249e+12 7.60883463e-02 3.84098023e-01
7.42500007e-01 2.17718164e-01 4.23189000e+12 5.67143917e+13 9.21359320e+11 1.23477532e+13 5.04099190e-01 4.64456487e+11 6.22449240e+12 7.46175683e-02 3.83565895e-01
7.47500002e-01 2.16973784e-01 4.02654400e+12 5.50061870e+13 8.73654490e+11 1.19349006e+13 5.06382167e-01 4.42403054e+11 6.04362082e+12 7.32016564e-02 3.83048618e-01
7.52499998e-01 2.14994899e-01 3.83582700e+12 5.32989314e+13 8.24683238e+11 1.14589984e+13 5.08967519e-01 4.19736982e+11 5.83225797e+12 7.19681783e-02 3.82549083e-01
7.57499993e-01 2.15237201e-01 3.64853600e+12 5.15720194e+13 7.85300675e+11 1.11002171e+13 5.11035383e-01 4.01316431e+11 5.67260369e+12 7.07464249e-02 3.82062854e-01
7.62499988e-01 2.12699458e-01 3.47479400e+12 4.98265694e+13 7.39086801e+11 1.05980843e+13 5.13310909e-01 3.79381318e+11 5.44011230e+12 6.97377732e-02 3.81596470e-01
7.67499983e-01 2.13367624e-01 3.30566700e+12 4.80676227e+13 7.05322312e+11 1.02560744e+13 5.15338600e-01 3.63479813e+11 5.28535104e+12 6.87711772e-02 3.81143284e-01
7.72499979e-01 2.11028617e-01 3.14619100e+12 4.63002206e+13 6.63936337e+11 9.77067154e+12 5.17666578e-01 3.43697652e+11 5.05795010e+12 6.79519657e-02 3.80709691e-01
