# 104614M29  idx 2  channel total (DD+DT+TT+TD)  TH=THNTX  BT=BTN[DD+DT]  t = 13.329 s
# (TH/BT)_LOS = 0.529376  [cum (TH/BT)(rhot=1) must match this]
#   rhot          f             TH[n/m3/s]    BT[n/m3/s]    THKM14        BTKM14        DVOL[m3]      TH*f*DVOL[n/s] BT*f*DVOL[n/s] TH/BT_local   TH/BT_cum
2.49999994e-03 1.00000000e+00 2.72289096e+16 4.33039603e+16 2.72289096e+16 4.33039603e+16 1.92002300e-03 5.22801327e+13 8.31445999e+13 6.28785667e-01 6.28785667e-01
7.49999983e-03 1.00000000e+00 2.72121999e+16 4.33039603e+16 2.72121999e+16 4.33039603e+16 5.76050766e-03 1.56756086e+14 2.49452795e+14 6.28399798e-01 6.28496260e-01
1.25000002e-02 1.00000000e+00 2.71809393e+16 4.33039603e+16 2.71809393e+16 4.33039603e+16 9.60124563e-03 2.60970874e+14 4.15771960e+14 6.27677909e-01 6.28041608e-01
1.75000001e-02 1.00000000e+00 2.71886991e+16 4.33039603e+16 2.71886991e+16 4.33039603e+16 1.34413699e-02 3.65453361e+14 5.82064548e+14 6.27857104e-01 6.27960888e-01
2.25000009e-02 1.00000000e+00 2.72091996e+16 4.33039603e+16 2.72091996e+16 4.33039603e+16 1.72797702e-02 4.70168717e+14 7.48282484e+14 6.28330513e-01 6.28093943e-01
2.74999999e-02 1.00000000e+00 2.72401203e+16 4.33039603e+16 2.72401203e+16 4.33039603e+16 2.11175606e-02 5.75244891e+14 9.14474005e+14 6.29044552e-01 6.28384371e-01
3.24999988e-02 1.00000000e+00 2.72808591e+16 4.33039603e+16 2.72808591e+16 4.33039603e+16 2.49552298e-02 6.80800110e+14 1.08066028e+15 6.29985316e-01 6.28809050e-01
3.75000015e-02 1.00000000e+00 2.73311805e+16 4.33039603e+16 2.73311805e+16 4.33039603e+16 2.87921987e-02 7.86924782e+14 1.24681623e+15 6.31147367e-01 6.29356998e-01
4.25000004e-02 1.00000000e+00 2.73908408e+16 4.33039603e+16 2.73908408e+16 4.33039603e+16 3.26303579e-02 8.93772939e+14 1.41302372e+15 6.32525077e-01 6.30021800e-01
4.74999994e-02 1.00000000e+00 2.74600796e+16 4.33039603e+16 2.74600796e+16 4.33039603e+16 3.64687704e-02 1.00143534e+15 1.57924218e+15 6.34123979e-01 6.30801108e-01
5.24999984e-02 1.00000000e+00 2.75391304e+16 4.33081781e+16 2.75391304e+16 4.33081781e+16 4.03079502e-02 1.11004590e+15 1.74566389e+15 6.35887529e-01 6.31683854e-01
5.75000010e-02 1.00000000e+00 2.76293796e+16 4.33406336e+16 2.76293796e+16 4.33406336e+16 4.41471413e-02 1.21975812e+15 1.91336507e+15 6.37493670e-01 6.32612381e-01
6.25000000e-02 9.99523782e-01 2.77302600e+16 4.34022561e+16 2.77170543e+16 4.33815872e+16 4.79831807e-02 1.32995243e+15 2.08158654e+15 6.38912869e-01 6.33545598e-01
6.75000027e-02 9.30552081e-01 2.78350295e+16 4.34896143e+16 2.59019446e+16 4.04693511e+16 5.18221222e-02 1.34229374e+15 2.09720766e+15 6.40038547e-01 6.34388721e-01
7.24999979e-02 8.71730669e-01 2.79405609e+16 4.35992765e+16 2.43566439e+16 3.80068265e+16 5.56556731e-02 1.35558541e+15 2.11529551e+15 6.40849187e-01 6.35136873e-01
7.75000006e-02 8.43436804e-01 2.80613396e+16 4.37278116e+16 2.36679666e+16 3.68816457e+16 5.94903380e-02 1.40801533e+15 2.19410157e+15 6.41727509e-01 6.35843639e-01
8.25000033e-02 8.03345625e-01 2.81958994e+16 4.38717882e+16 2.26510524e+16 3.52442091e+16 6.33235574e-02 1.43434522e+15 2.23178870e+15 6.42688629e-01 6.36516854e-01
8.74999985e-02 7.83581250e-01 2.83656991e+16 4.40277745e+16 2.22268299e+16 3.44993385e+16 6.71504512e-02 1.49254166e+15 2.31664615e+15 6.44268293e-01 6.37234901e-01
9.25000012e-02 7.60866454e-01 2.85768806e+16 4.41923395e+16 2.17431898e+16 3.36244687e+16 7.09799752e-02 1.54333107e+15 2.38666395e+15 6.46647834e-01 6.38054952e-01
9.74999964e-02 7.36129605e-01 2.86512005e+16 4.43620514e+16 2.10909969e+16 3.26562194e+16 7.48105496e-02 1.57782907e+15 2.44302972e+15 6.45849315e-01 6.38693121e-01
1.02499999e-01 7.24002067e-01 2.86488699e+16 4.45334793e+16 2.07418410e+16 3.22423311e+16 7.86441192e-02 1.63122382e+15 2.53566973e+15 6.43310838e-01 6.39054801e-01
1.07500002e-01 7.07954383e-01 2.86356296e+16 4.47031915e+16 2.02727195e+16 3.16478203e+16 8.24650228e-02 1.67179027e+15 2.60983823e+15 6.40572376e-01 6.39168014e-01
1.12499997e-01 6.93376980e-01 2.86173594e+16 4.48677563e+16 1.98426182e+16 3.11102694e+16 8.62875357e-02 1.71217063e+15 2.68442848e+15 6.37815700e-01 6.39071641e-01
1.17500000e-01 6.91302970e-01 2.85986591e+16 4.50237428e+16 1.97703379e+16 3.11250471e+16 9.01125073e-02 1.78155472e+15 2.80475603e+15 6.35190619e-01 6.38802689e-01
1.22500002e-01 6.81024328e-01 2.85775094e+16 4.51677193e+16 1.94619791e+16 3.07603157e+16 9.39324349e-02 1.82811109e+15 2.88939135e+15 6.32697639e-01 6.38395887e-01
1.27499998e-01 6.77404686e-01 2.85587702e+16 4.52962543e+16 1.93458448e+16 3.06838949e+16 9.77387950e-02 1.89083955e+15 2.99900692e+15 6.30488561e-01 6.37884381e-01
1.32499993e-01 6.73078846e-01 2.85393306e+16 4.54059165e+16 1.92092197e+16 3.05617619e+16 1.01557098e-01 1.95083261e+15 3.10376386e+15 6.28537705e-01 6.37297910e-01
1.37500003e-01 6.64341801e-01 2.85216993e+16 4.54932748e+16 1.89481571e+16 3.02230842e+16 1.05366901e-01 1.99650859e+15 3.18451270e+15 6.26943200e-01 6.36671605e-01
1.42499998e-01 6.59585327e-01 2.85056594e+16 4.55548973e+16 1.88019147e+16 3.00473418e+16 1.09164394e-01 2.05249963e+15 3.28009987e+15 6.25743029e-01 6.36030679e-01
1.47499993e-01 6.58729619e-01 2.84901601e+16 4.55873527e+16 1.87673123e+16 3.00297395e+16 1.12990499e-01 2.12052798e+15 3.39307524e+15 6.24957547e-01 6.35397332e-01
1.52500004e-01 6.48497079e-01 2.84773704e+16 4.55834967e+16 1.84674915e+16 2.95607645e+16 1.16775706e-01 2.15655437e+15 3.45197915e+15 6.24729835e-01 6.34810727e-01
1.57499999e-01 6.48784145e-01 2.84660797e+16 4.55205855e+16 1.84683412e+16 2.95330341e+16 1.20592400e-01 2.22714160e+15 3.56145948e+15 6.25345202e-01 6.34302543e-01
1.62499994e-01 6.44102652e-01 2.84556698e+16 4.53990547e+16 1.83283724e+16 2.92416515e+16 1.24380998e-01 2.27970125e+15 3.63710581e+15 6.26789918e-01 6.33912048e-01
1.67500004e-01 6.40684352e-01 2.84480307e+16 4.52233817e+16 1.82262081e+16 2.89739130e+16 1.28168702e-01 2.33602944e+15 3.71354882e+15 6.29055804e-01 6.33667311e-01
1.72499999e-01 6.35469406e-01 2.84413993e+16 4.49980458e+16 1.80736391e+16 2.85948814e+16 1.31963700e-01 2.38506429e+15 3.77348636e+15 6.32058544e-01 6.33588940e-01
1.77499995e-01 6.33069441e-01 2.84365292e+16 4.47275245e+16 1.80022976e+16 2.83156289e+16 1.35736704e-01 2.44357254e+15 3.84347014e+15 6.35772479e-01 6.33692162e-01
1.82500005e-01 6.25202915e-01 2.84344996e+16 4.44162951e+16 1.77773320e+16 2.77691972e+16 1.39537007e-01 2.48059570e+15 3.87483065e+15 6.40181706e-01 6.33987376e-01
1.87500000e-01 6.25144207e-01 2.84323594e+16 4.40688374e+16 1.77743248e+16 2.75493784e+16 1.43303409e-01 2.54712134e+15 3.94791985e+15 6.45180611e-01 6.34483187e-01
1.92499995e-01 6.20063116e-01 2.84326298e+16 4.36896287e+16 1.76300250e+16 2.70903273e+16 1.47068709e-01 2.59282502e+15 3.98413947e+15 6.50786711e-01 6.35180803e-01
1.97500005e-01 6.17921160e-01 2.84346798e+16 4.32831459e+16 1.75703903e+16 2.67455717e+16 1.50853097e-01 2.65054780e+15 4.03465233e+15 6.56945775e-01 6.36084747e-01
2.02500001e-01 6.14967706e-01 2.84369900e+16 4.28538694e+16 1.74878305e+16 2.63537458e+16 1.54623598e-01 2.70403127e+15 4.07491099e+15 6.63580450e-01 6.37191665e-01
2.07499996e-01 6.12567408e-01 2.84417700e+16 4.24062762e+16 1.74225013e+16 2.59767027e+16 1.58403099e-01 2.75977819e+15 4.11479020e+15 6.70697182e-01 6.38500518e-01
2.12500006e-01 6.09675656e-01 2.84469596e+16 4.19448431e+16 1.73434188e+16 2.55727497e+16 1.62122905e-01 2.81176544e+15 4.14592848e+15 6.78199214e-01 6.40003864e-01
2.17500001e-01 6.08109755e-01 2.84525404e+16 4.14740508e+16 1.73022674e+16 2.52207748e+16 1.65897697e-01 2.87040631e+15 4.18406847e+15 6.86032348e-01 6.41698195e-01
2.22499996e-01 6.05040897e-01 2.84596490e+16 4.09983761e+16 1.72192516e+16 2.48056942e+16 1.69655204e-01 2.92133563e+15 4.20841511e+15 6.94165276e-01 6.43571417e-01
2.27500007e-01 6.02982700e-01 2.84664300e+16 4.05222957e+16 1.71647648e+16 2.44342433e+16 1.73390999e-01 2.97621572e+15 4.23667786e+15 7.02488087e-01 6.45615562e-01
2.32500002e-01 6.02700639e-01 2.84570706e+16 4.00502905e+16 1.71510946e+16 2.41383357e+16 1.77138209e-01 3.03811419e+15 4.27582156e+15 7.10533438e-01 6.47811827e-01
2.37499997e-01 5.99634555e-01 2.84120904e+16 3.95868373e+16 1.70368712e+16 2.37376355e+16 1.80867404e-01 3.08141465e+15 4.29336451e+15 7.17715593e-01 6.50108458e-01
2.42500007e-01 5.99870682e-01 2.83335004e+16 3.91364127e+16 1.69964362e+16 2.34767866e+16 1.84582591e-01 3.13724623e+15 4.33340609e+15 7.23967744e-01 6.52479065e-01
2.47500002e-01 5.99259265e-01 2.82184008e+16 3.87034976e+16 1.69101381e+16 2.31934295e+16 1.88315496e-01 3.18444104e+15 4.36768219e+15 7.29091749e-01 6.54879831e-01
2.52499998e-01 5.96720125e-01 2.80644198e+16 3.82869802e+16 1.67466041e+16 2.28466116e+16 1.92038506e-01 3.21599284e+15 4.38742916e+15 7.33001655e-01 6.57263909e-01
2.57499993e-01 5.96009133e-01 2.78749696e+16 3.78568192e+16 1.66137365e+16 2.25630100e+16 1.95746407e-01 3.25207922e+15 4.41662813e+15 7.36326248e-01 6.59620356e-01
2.62499988e-01 5.95078153e-01 2.76477706e+16 3.74093797e+16 1.64525843e+16 2.22615045e+16 1.99495092e-01 3.28220981e+15 4.44106090e+15 7.39059853e-01 6.61931866e-01
2.67500013e-01 5.91790414e-01 2.73808097e+16 3.69465029e+16 1.62037007e+16 2.18645862e+16 2.03140706e-01 3.29163120e+15 4.44158748e+15 7.41093408e-01 6.64170417e-01
2.72500008e-01 5.91828012e-01 2.70772797e+16 3.64700383e+16 1.60250927e+16 2.15839903e+16 2.06866592e-01 3.31505631e+15 4.46500652e+15 7.42452736e-01 6.66334265e-01
