# Remapped using 104453/eftp/zstancar/140
# At t=50.900s Rmag=3.005m, Zmag=0.272m
# R of separatrix at the midplane is Rbnd=3.828m
#     rhot          Rmid           TI
1.66666694e-02 2.88687579e-02 5.94088281e+03
5.00000007e-02 7.02207211e-02 5.84137793e+03
8.33333433e-02 1.08018195e-01 5.60809424e+03
1.16666697e-01 1.53260092e-01 5.27705908e+03
1.50000006e-01 1.95676966e-01 4.87573193e+03
1.83333293e-01 2.37329666e-01 4.45829492e+03
2.16666698e-01 2.79083970e-01 4.04685889e+03
2.50000000e-01 3.19570566e-01 3.66179492e+03
2.83333302e-01 3.59314916e-01 3.31504907e+03
3.16666692e-01 3.98284374e-01 3.00217310e+03
3.49999994e-01 4.36498108e-01 2.73414893e+03
3.83333296e-01 4.73910284e-01 2.51499707e+03
4.16666687e-01 5.10473452e-01 2.34060303e+03
4.49999988e-01 5.46272493e-01 2.19513110e+03
4.83333290e-01 5.81062341e-01 2.03093005e+03
5.16666710e-01 6.15041302e-01 1.84872705e+03
5.50000012e-01 6.48261902e-01 1.67977100e+03
5.83333313e-01 6.80603450e-01 1.54469202e+03
6.16666675e-01 7.11928566e-01 1.43473596e+03
6.49999976e-01 7.42410378e-01 1.33192896e+03
6.83333278e-01 7.72106869e-01 1.23044897e+03
7.16666579e-01 8.00841466e-01 1.12857397e+03
7.50000000e-01 8.28580649e-01 1.02743201e+03
7.83333421e-01 8.55288916e-01 9.20725586e+02
8.16666722e-01 8.81065586e-01 8.08691101e+02
8.50000024e-01 9.05885176e-01 6.92422485e+02
8.83333325e-01 9.29606260e-01 5.67538391e+02
9.16666687e-01 9.52210456e-01 4.30931305e+02
9.49999988e-01 9.73515998e-01 2.93136688e+02
9.83333290e-01 9.92911174e-01 1.76967102e+02
