# 104614M30  idx 1  channel total (DD+DT+TT+TD)  TH=THNTX  BT=BTN[DD+DT]  t = 12.329 s
# (TH/BT)_LOS = 0.505615  [cum (TH/BT)(rhot=1) must match this]
#   rhot          f             TH[n/m3/s]    BT[n/m3/s]    THKM14        BTKM14        DVOL[m3]      TH*f*DVOL[n/s] BT*f*DVOL[n/s] TH/BT_local   TH/BT_cum
2.49999994e-03 2.59501160e-01 2.81521398e+16 4.88028360e+16 7.30551292e+15 1.26643925e+16 1.92002300e-03 1.40267528e+13 2.43159250e+13 5.76854586e-01 5.76854586e-01
7.49999983e-03 1.00000000e+00 2.81492500e+16 4.88028360e+16 2.81492500e+16 4.88028360e+16 5.76050766e-03 1.62153970e+14 2.81129111e+14 5.76795374e-01 5.76800087e-01
1.25000002e-02 1.00000000e+00 2.81374802e+16 4.88028360e+16 2.81374802e+16 4.88028360e+16 9.60124563e-03 2.70154859e+14 4.68568017e+14 5.76554202e-01 5.76651235e-01
1.75000001e-02 9.17162552e-01 2.81660600e+16 4.88028360e+16 2.58328555e+16 4.47601337e+16 1.34413699e-02 3.47228966e+14 6.01637512e+14 5.77139820e-01 5.76864916e-01
2.25000009e-02 1.00000000e+00 2.82083410e+16 4.88028360e+16 2.82083410e+16 4.88028360e+16 1.72797702e-02 4.87433651e+14 8.43301793e+14 5.78006183e-01 5.77298649e-01
2.74999999e-02 1.00000000e+00 2.82615501e+16 4.88028360e+16 2.82615501e+16 4.88028360e+16 2.11175606e-02 5.96814995e+14 1.03059685e+15 5.79096470e-01 5.77868829e-01
3.24999988e-02 1.00000000e+00 2.83252593e+16 4.88028360e+16 2.83252593e+16 4.88028360e+16 2.49552298e-02 7.06863355e+14 1.21788599e+15 5.80401910e-01 5.78559383e-01
3.75000015e-02 1.00000000e+00 2.83991204e+16 4.88028360e+16 2.83991204e+16 4.88028360e+16 2.87921987e-02 8.17673118e+14 1.40514095e+15 5.81915370e-01 5.79362375e-01
4.25000004e-02 9.83015335e-01 2.84830208e+16 4.88028360e+16 2.79992462e+16 4.79739362e+16 3.26303579e-02 9.13625425e+14 1.56540671e+15 5.83634541e-01 5.80261500e-01
4.74999994e-02 9.92707872e-01 2.85770895e+16 4.88028360e+16 2.83687017e+16 4.84469595e+16 3.64687704e-02 1.03457167e+15 1.76680104e+15 5.85562067e-01 5.81278911e-01
5.24999984e-02 1.00000000e+00 2.86810092e+16 4.88067534e+16 2.86810092e+16 4.88067534e+16 4.03079502e-02 1.15607269e+15 1.96730019e+15 5.87644273e-01 5.82399792e-01
5.75000010e-02 9.91254437e-01 2.87944110e+16 4.88368976e+16 2.85425877e+16 4.84097914e+16 4.41471413e-02 1.26007365e+15 2.13715390e+15 5.89603608e-01 5.83556557e-01
6.25000000e-02 1.00000000e+00 2.89166807e+16 4.88941315e+16 2.89166807e+16 4.88941315e+16 4.79831807e-02 1.38751432e+15 2.34609595e+15 5.91414139e-01 5.84734088e-01
6.75000027e-02 9.43566529e-01 2.90413896e+16 4.89752684e+16 2.74024832e+16 4.62114240e+16 5.18221222e-02 1.42005483e+15 2.39477406e+15 5.92980713e-01 5.85828198e-01
7.24999979e-02 8.66482014e-01 2.91652301e+16 4.90771209e+16 2.52711473e+16 4.25244425e+16 5.56556731e-02 1.40648271e+15 2.36672647e+15 5.94273453e-01 5.86807175e-01
7.75000006e-02 8.26912179e-01 2.93044490e+16 4.91965022e+16 2.42322058e+16 4.06811869e+16 5.94903380e-02 1.44158211e+15 2.42013756e+15 5.95661230e-01 5.87745480e-01
8.25000033e-02 8.03380548e-01 2.94568899e+16 4.93302253e+16 2.36650923e+16 3.96309434e+16 6.33235574e-02 1.49855783e+15 2.50957232e+15 5.97136739e-01 5.88675312e-01
8.74999985e-02 7.75771379e-01 2.96460308e+16 4.94751028e+16 2.29985422e+16 3.83813688e+16 6.71504512e-02 1.54436249e+15 2.57732623e+15 5.99211101e-01 5.89647748e-01
9.25000012e-02 7.53627931e-01 2.98807603e+16 4.96279482e+16 2.25189756e+16 3.74010079e+16 7.09799752e-02 1.59839633e+15 2.65472261e+15 6.02095421e-01 5.90728410e-01
9.74999964e-02 7.44647823e-01 2.99639890e+16 4.97855738e+16 2.23126192e+16 3.70727191e+16 7.48105496e-02 1.66921930e+15 2.77343050e+15 6.01860874e-01 5.91654144e-01
1.02499999e-01 7.26002061e-01 2.99698504e+16 4.99447933e+16 2.17581731e+16 3.62600229e+16 7.86441192e-02 1.71115236e+15 2.85163756e+15 6.00059554e-01 5.92316209e-01
1.07500002e-01 7.09993387e-01 2.99639992e+16 5.01024192e+16 2.12742413e+16 3.55723863e+16 8.24650228e-02 1.75438079e+15 2.93347765e+15 5.98054939e-01 5.92746349e-01
1.12499997e-01 7.12536242e-01 2.99515802e+16 5.02552643e+16 2.13415864e+16 3.58086971e+16 8.62875357e-02 1.84151290e+15 3.08984423e+15 5.95988910e-01 5.92983614e-01
1.17500000e-01 6.91595207e-01 2.99381391e+16 5.04001420e+16 2.07050735e+16 3.48564966e+16 9.01125073e-02 1.86578609e+15 3.14100631e+15 5.94009023e-01 5.93054608e-01
1.22500002e-01 6.81596842e-01 2.99211694e+16 5.05338651e+16 2.03941746e+16 3.44437228e+16 9.39324349e-02 1.91567448e+15 3.23538275e+15 5.92101344e-01 5.92991152e-01
1.27499998e-01 6.86260683e-01 2.99057807e+16 5.06532463e+16 2.05231615e+16 3.47613314e+16 9.77387950e-02 2.00590908e+15 3.39753064e+15 5.90402056e-01 5.92821990e-01
1.32499993e-01 6.69399785e-01 2.98890301e+16 5.07550988e+16 2.00077103e+16 3.39754522e+16 1.01557098e-01 2.03192501e+15 3.45044834e+15 5.88887242e-01 5.92577152e-01
1.37500003e-01 6.61694173e-01 2.98738299e+16 5.08362357e+16 1.97673392e+16 3.36380410e+16 1.05366901e-01 2.08282326e+15 3.54433612e+15 5.87648347e-01 5.92281039e-01
1.42499998e-01 6.63729620e-01 2.98591191e+16 5.08934697e+16 1.98183818e+16 3.37795033e+16 1.09164394e-01 2.16346165e+15 3.68751902e+15 5.86698437e-01 5.91952627e-01
1.47499993e-01 6.53990979e-01 2.98445210e+16 5.09236138e+16 1.95180475e+16 3.33035840e+16 1.12990499e-01 2.20535392e+15 3.76298856e+15 5.86064475e-01 5.91619168e-01
1.52500004e-01 6.46110108e-01 2.98326508e+16 5.09167118e+16 1.92751772e+16 3.28978022e+16 1.16775706e-01 2.25087243e+15 3.84166409e+15 5.85910788e-01 5.91307170e-01
1.57499999e-01 6.48975090e-01 2.98207007e+16 5.08325367e+16 1.93528919e+16 3.29890501e+16 1.20592400e-01 2.33381169e+15 3.97822873e+15 5.86645928e-01 5.91057480e-01
1.62499994e-01 6.40208015e-01 2.98095206e+16 5.06702667e+16 1.90842940e+16 3.24395109e+16 1.24380998e-01 2.37372355e+15 4.03485875e+15 5.88304001e-01 5.90915593e-01
1.67500004e-01 6.35740574e-01 2.98004500e+16 5.04362457e+16 1.89453552e+16 3.20643678e+16 1.28168702e-01 2.42820159e+15 4.10964841e+15 5.90853851e-01 5.90912514e-01
1.72499999e-01 6.34143286e-01 2.97912504e+16 5.01368198e+16 1.88919214e+16 3.17939277e+16 1.31963700e-01 2.49304786e+15 4.19564434e+15 5.94199044e-01 5.91071730e-01
1.77499995e-01 6.30488280e-01 2.97840701e+16 4.97783330e+16 1.87785072e+16 3.13846556e+16 1.35736704e-01 2.54893267e+15 4.26004970e+15 5.98334021e-01 5.91412206e-01
1.82500005e-01 6.23760165e-01 2.97788293e+16 4.93671285e+16 1.85748475e+16 3.07932483e+16 1.39537007e-01 2.59187862e+15 4.29679769e+15 6.03211696e-01 5.91944975e-01
1.87500000e-01 6.24111224e-01 2.97729208e+16 4.89095536e+16 1.85816140e+16 3.05250013e+16 1.43303409e-01 2.66280864e+15 4.37433675e+15 6.08734259e-01 5.92682808e-01
1.92499995e-01 6.21219265e-01 2.97693000e+16 4.84119515e+16 1.84932626e+16 3.00744369e+16 1.47068709e-01 2.71978027e+15 4.42300862e+15 6.14916338e-01 5.93628736e-01
1.97500005e-01 6.17790332e-01 2.97670799e+16 4.78806654e+16 1.83898142e+16 2.95802122e+16 1.50853097e-01 2.77416043e+15 4.46226663e+15 6.21693113e-01 5.94783760e-01
2.02500001e-01 6.14380053e-01 2.97646694e+16 4.73220431e+16 1.82868192e+16 2.90737193e+16 1.54623598e-01 2.82757378e+15 4.49548309e+15 6.28981073e-01 5.96145218e-01
